Underlying,FixedRate,TradeId,Counterparty,Quantity,TradeType
ZQ3JY,0.46,2494,Howe and Sons,851627.41,IRSwap
JY4MH,0.70,2495,McClure - Waters,164687.64,IRSwap
0LQ6A,0.92,2496,Anderson - Haag,589663.18,IRSwap
S5RTP,0.83,2497,Renner Group,82532.41,IRSwap
FZ1VK,0.33,2498,Mills LLC,463019.16,IRSwap
SB2PU,0.41,2499,Glover Inc,709943.22,IRSwap
BSNUD,0.36,2500,Upton Inc,33906.97,IRSwap
GRHU5,0.04,2501,Harber Group,662837.46,IRSwap
UVJ8A,0.49,2502,Stiedemann - Moore,962564.81,IRSwap
TCCI4,0.66,2503,Bechtelar Group,302462.76,IRSwap
5QCI9,0.04,2504,DuBuque LLC,213762.97,IRSwap
5AA6G,0.23,2505,"Fisher, Mante and Schneider",872401.06,IRSwap
4DLU4,0.41,2506,Marks - Strosin,280524.69,IRSwap
CET3I,0.04,2507,"Quitzon, Kuhlman and Rath",329587.43,IRSwap
5FN12,0.32,2508,"Fisher, Okuneva and Sporer",483766.97,IRSwap
MX0DQ,0.66,2509,Kerluke - Turcotte,635721.52,IRSwap
23JSW,0.47,2510,Murphy Group,529787.20,IRSwap
B7FN7,0.18,2511,Windler Inc,455990.43,IRSwap
11TOQ,0.47,2512,Blanda and Sons,646143.40,IRSwap
LSBE2,0.89,2513,"Rempel, Rosenbaum and Hintz",831612.46,IRSwap
8GBFH,0.38,2514,"Considine, Mitchell and Friesen",702659.56,IRSwap
A7H1A,0.85,2515,Mante and Sons,60680.85,IRSwap
7TMPF,0.12,2516,Kemmer LLC,346097.35,IRSwap
XQECT,0.36,2517,Collins and Sons,354296.57,IRSwap
J6WRB,0.57,2518,Hackett - Wisoky,409338.55,IRSwap
PWWHF,0.82,2519,"Hintz, Sauer and Batz",768503.35,IRSwap
1934K,0.82,2520,Zulauf - Hoeger,132668.92,IRSwap
RG9S0,0.90,2521,Fadel Group,461472.91,IRSwap
C9L7T,0.49,2522,"Jakubowski, Stanton and Green",871145.31,IRSwap
L9IWS,0.64,2523,"Hirthe, Littel and Schmidt",309045.88,IRSwap
KZ8N3,0.49,2524,"Rohan, Pfeffer and Cormier",860482.58,IRSwap
39O0I,0.91,2525,Wisoky - Davis,149706.29,IRSwap
NGV0A,0.10,2526,"Harber, Gutkowski and Stanton",379548.24,IRSwap
LQHOL,0.97,2527,Effertz LLC,99070.42,IRSwap
KM5H0,0.83,2528,Howe and Sons,850602.42,IRSwap
DAHWJ,0.37,2529,"Grady, Renner and Zboncak",420987.18,IRSwap
RI1HJ,0.19,2530,Senger - Hudson,425292.37,IRSwap
XYZT1,0.30,2531,Watsica - Weimann,582038.40,IRSwap
THOO7,0.42,2532,Yost - Koch,202784.60,IRSwap
JKYFT,0.10,2533,Ruecker Inc,601276.31,IRSwap
JCSEH,0.44,2534,Adams and Sons,637947.15,IRSwap
ZND6L,0.28,2535,Padberg Group,231543.13,IRSwap
KVC1D,0.98,2536,"Hintz, Gorczany and Carroll",175002.40,IRSwap
DITNG,0.69,2537,Yundt - Welch,194474.66,IRSwap
CVTMV,0.20,2538,Dooley Group,117952.71,IRSwap
QCGYG,0.45,2539,"Schuppe, Lindgren and Friesen",736151.10,IRSwap
OX1M5,0.55,2540,Bradtke - Kohler,731672.22,IRSwap
6IZUO,0.06,2541,Collins - McGlynn,585260.92,IRSwap
GOGN5,0.36,2542,"Cruickshank, Deckow and Donnelly",753000.73,IRSwap
BDNYS,1.00,2543,"Abernathy, Feil and Turner",98718.13,IRSwap
NK8CM,0.28,2544,"O'Conner, Frami and Paucek",953284.86,IRSwap
9Z88K,0.97,2545,Rempel - Dietrich,918394.42,IRSwap
O27M6,0.74,2546,"Dicki, Stehr and Cole",351811.60,IRSwap
Y2H1W,0.42,2547,Reinger and Sons,532222.86,IRSwap
P61EE,0.72,2548,"Rempel, Jaskolski and McLaughlin",508008.07,IRSwap
EJLZH,0.03,2549,Bartell LLC,459116.23,IRSwap
RDBWQ,0.21,2550,"Kilback, Lindgren and Connelly",1220.26,IRSwap
JUZW5,0.21,2551,"Lueilwitz, Dooley and Koepp",446421.80,IRSwap
2KIW1,0.41,2552,"Ankunding, Bergnaum and Predovic",679911.34,IRSwap
GIXSQ,0.50,2553,Beahan - Graham,865184.43,IRSwap
ZY0R0,0.59,2554,"Larkin, Ledner and Kreiger",545498.38,IRSwap
A3BRE,0.85,2555,"Lindgren, Pagac and Legros",76540.57,IRSwap
6K3C1,0.10,2556,Goodwin Inc,153723.41,IRSwap
J742M,0.51,2557,Quigley - Bosco,497226.13,IRSwap
ILCD7,0.85,2558,Batz Group,510053.22,IRSwap
C8BET,0.36,2559,Wolf - Brekke,825356.12,IRSwap
TL1J3,0.96,2560,"Jones, Wisozk and Kulas",449866.09,IRSwap
4GNNK,0.24,2561,Collins Group,712519.51,IRSwap
L95AW,0.74,2562,"Collier, Dicki and Mraz",450561.07,IRSwap
2B2O0,0.31,2563,Fritsch LLC,715178.87,IRSwap
848SN,0.75,2564,"Carroll, Toy and Frami",838864.39,IRSwap
SVZ8B,0.89,2565,Cartwright Inc,286457.13,IRSwap
VAZ14,0.60,2566,Daugherty Inc,982097.68,IRSwap
ADMD5,0.90,2567,"Lowe, Wehner and Tillman",17037.46,IRSwap
4EFAG,0.06,2568,Fritsch - Zieme,5833.17,IRSwap
XO9YY,0.12,2569,Prosacco - Johns,593035.57,IRSwap
P6B9H,0.50,2570,O'Keefe Inc,776334.32,IRSwap
QX7ZR,0.88,2571,Stracke - Cruickshank,989688.37,IRSwap
IUIA2,0.62,2572,Rosenbaum - Paucek,534776.75,IRSwap
PU67A,0.95,2573,Okuneva and Sons,39261.20,IRSwap
OKJFU,0.01,2574,Cronin Group,955278.53,IRSwap
JFYI9,0.85,2575,Graham - Dietrich,70918.19,IRSwap
DQF4A,0.89,2576,Bahringer - Dicki,858850.93,IRSwap
EYQVY,0.31,2577,"Zieme, Osinski and Schroeder",787595.37,IRSwap
TGCHA,0.88,2578,Kessler Inc,159916.56,IRSwap
2YYKY,0.14,2579,Wisozk - Klein,286878.27,IRSwap
GMDA4,0.48,2580,Corkery - Will,278856.18,IRSwap
KL4PJ,0.26,2581,O'Reilly and Sons,549398.34,IRSwap
207IP,0.44,2582,Murray Group,16096.95,IRSwap
YHSP7,0.08,2583,"Crist, Von and Schowalter",888199.44,IRSwap
0NWQH,0.84,2584,Hermann Group,638522.44,IRSwap
S5X7F,0.39,2585,Bahringer LLC,43247.86,IRSwap
QHNM3,0.34,2586,"Maggio, Powlowski and Kuhlman",85085.12,IRSwap
97D2D,0.32,2587,Harvey Inc,28422.23,IRSwap
8R3SJ,0.58,2588,"Feest, Mitchell and Roberts",132165.27,IRSwap
NBJ95,0.24,2589,Schuster Inc,501935.62,IRSwap
OH0IX,0.56,2590,Hoppe and Sons,247997.39,IRSwap
B3QYI,0.73,2591,Blick Inc,62751.44,IRSwap
QIYIM,0.90,2592,Schroeder - Lynch,769325.11,IRSwap
U3HGQ,0.75,2593,"Schultz, Dietrich and Blick",689597.40,IRSwap
6Q56K,0.56,2594,Stokes - Wuckert,433894.31,IRSwap
ATQH6,0.53,2595,Robel - Kemmer,682320.88,IRSwap
BVZDH,0.98,2596,Toy - Bayer,738453.50,IRSwap
YYKCK,0.77,2597,Lang Group,983474.09,IRSwap
2REE0,0.39,2598,"Hermann, Beatty and Harvey",223519.71,IRSwap
T83AQ,0.78,2599,"Goldner, Ebert and Gibson",704069.29,IRSwap
GPC9D,0.93,2600,"McKenzie, Halvorson and Bosco",966525.92,IRSwap
PI94L,0.98,2601,Rau - Collier,840933.47,IRSwap
KP94C,0.23,2602,Medhurst - Fritsch,236699.60,IRSwap
G043B,0.68,2603,Bailey Inc,661932.40,IRSwap
VH4V3,0.73,2604,Russel Group,68610.92,IRSwap
Z2UEQ,0.46,2605,"Daugherty, Connelly and Schmeler",234624.91,IRSwap
DOHDO,0.38,2606,Von Inc,655765.15,IRSwap
OL6D2,0.59,2607,Schoen Group,938586.80,IRSwap
3V8FG,0.96,2608,Barton - Mohr,375338.54,IRSwap
UUUEH,0.81,2609,Purdy LLC,217806.39,IRSwap
PD7UJ,0.40,2610,Kub - Jenkins,343484.60,IRSwap
6BSKH,0.45,2611,"Kuhlman, Hartmann and Cole",62319.72,IRSwap
F7P3T,0.76,2612,Veum LLC,108496.35,IRSwap
M9OPO,0.37,2613,"Thiel, Gerhold and Weimann",913034.95,IRSwap
G5NJ1,0.85,2614,"Bergstrom, Bins and Schaefer",372657.78,IRSwap
895IR,0.72,2615,"Hickle, Monahan and Marks",676244.12,IRSwap
65J14,0.84,2616,Bruen - Monahan,76117.75,IRSwap
B2RJF,0.29,2617,"Bins, Cummerata and Stamm",662091.24,IRSwap
CY1EK,0.17,2618,"VonRueden, Torp and Toy",330217.61,IRSwap
6A903,0.50,2619,Cruickshank - Jones,961583.81,IRSwap
Q0W7D,0.95,2620,"Anderson, Cummings and Greenholt",444414.80,IRSwap
Q6VTL,0.02,2621,Keebler Group,193694.11,IRSwap
FP5RI,0.55,2622,"Goldner, Olson and Klocko",2048.77,IRSwap
PLVMX,0.11,2623,Schamberger - Runolfsson,907833.18,IRSwap
QHRG4,0.40,2624,Dibbert Inc,304911.09,IRSwap
QIUFA,0.31,2625,Labadie and Sons,224182.02,IRSwap
M6A0L,0.98,2626,"Kassulke, Swift and Jacobs",978787.62,IRSwap
3G59X,0.93,2627,Pacocha Group,506080.98,IRSwap
BJ67R,0.44,2628,"Olson, Brown and Heidenreich",830027.45,IRSwap
BTB3B,0.48,2629,Mosciski and Sons,783105.57,IRSwap
TKPN2,0.69,2630,Leffler - Johnston,13035.70,IRSwap
RR15B,0.63,2631,Herzog and Sons,85709.12,IRSwap
V1KQR,0.63,2632,Schinner Group,533350.04,IRSwap
4OCZQ,0.82,2633,"Dach, Nader and Klein",240375.50,IRSwap
Y890J,0.76,2634,Corwin - Blick,267395.79,IRSwap
NPV5S,0.01,2635,Runte LLC,364403.97,IRSwap
QXUM2,0.72,2636,"Torp, Keebler and Stokes",6994.82,IRSwap
NQ9WT,0.31,2637,Mertz Group,605573.07,IRSwap
Y3LFS,0.19,2638,"Ernser, Swaniawski and O'Connell",401103.40,IRSwap
P798B,0.41,2639,Reichel Group,628266.23,IRSwap
6VR0Y,0.62,2640,Kris - Bauch,26872.57,IRSwap
NK7LR,0.84,2641,Willms LLC,292326.04,IRSwap
XVZZX,0.53,2642,Dietrich and Sons,529843.25,IRSwap
BQTM8,0.08,2643,O'Reilly LLC,897138.33,IRSwap
Y90JY,0.17,2644,McDermott and Sons,182915.75,IRSwap
577I3,0.30,2645,O'Keefe and Sons,461963.81,IRSwap
KGTZX,0.73,2646,"Sauer, Bode and Keeling",615726.40,IRSwap
OP3LO,0.86,2647,Hodkiewicz - Pfannerstill,517699.67,IRSwap
C71Q4,0.53,2648,Anderson - Rosenbaum,522456.75,IRSwap
JI1KD,0.81,2649,Ledner Group,191867.00,IRSwap
EASXH,0.48,2650,Luettgen Inc,437655.80,IRSwap
GRBW9,0.38,2651,Walter and Sons,431252.68,IRSwap
E2FHY,0.17,2652,Bergstrom - Stroman,393268.71,IRSwap
VYB32,0.42,2653,"Larson, Erdman and Streich",660262.07,IRSwap
E3IQR,0.18,2654,Gerlach LLC,399481.15,IRSwap
4ON0C,0.83,2655,Gutmann Group,400819.42,IRSwap
MPKRK,0.80,2656,Witting and Sons,802905.37,IRSwap
AT8Z0,0.97,2657,Schmeler Inc,963660.58,IRSwap
78GI7,0.32,2658,"Romaguera, Dietrich and Yost",537850.07,IRSwap
4XTSO,0.54,2659,Runolfsdottir Inc,132656.65,IRSwap
303BG,0.66,2660,"Dare, Wolf and Davis",338616.86,IRSwap
RB9EH,0.09,2661,Hodkiewicz Group,531128.05,IRSwap
1YT6V,0.40,2662,Hettinger and Sons,707835.06,IRSwap
K7T73,0.21,2663,Hauck and Sons,208404.88,IRSwap
ADCLC,0.61,2664,Dickinson - Rogahn,661618.44,IRSwap
HTHGA,0.16,2665,Hudson - Ebert,448258.74,IRSwap
GOYOY,0.56,2666,Walter and Sons,50883.59,IRSwap
Q1MTF,0.65,2667,Bergstrom - Grimes,258584.14,IRSwap
UT4ZQ,0.76,2668,Fay - Schumm,255961.11,IRSwap
FQP7M,0.43,2669,"Hartmann, Tremblay and West",24534.51,IRSwap
I3YPF,0.20,2670,Oberbrunner - Schmeler,84758.00,IRSwap
477MJ,0.97,2671,"Bechtelar, O'Keefe and Lowe",960135.61,IRSwap
C8ABX,0.61,2672,"Dickinson, Shields and Dicki",170461.95,IRSwap
6BQ69,0.29,2673,"Emard, Wilderman and McCullough",18658.86,IRSwap
E2BIH,0.58,2674,Bednar - Grady,240422.77,IRSwap
YWBQP,0.43,2675,Koepp LLC,454428.74,IRSwap
FLD31,0.88,2676,Grady Inc,247057.48,IRSwap
RWXY6,0.96,2677,"Hickle, Rau and Ortiz",629969.44,IRSwap
941A0,0.98,2678,"Kertzmann, Bartell and Rempel",751883.08,IRSwap
Z1SSO,0.23,2679,Senger - Dibbert,280150.93,IRSwap
Q0T7Z,0.40,2680,Metz - Ortiz,711719.35,IRSwap
1IOC8,0.04,2681,"Lockman, Kozey and Hagenes",846507.22,IRSwap
HCSV4,0.15,2682,"Tillman, Watsica and Turner",892715.41,IRSwap
D008A,0.85,2683,Reinger - Hagenes,838443.76,IRSwap
CVFYI,0.11,2684,Mills Inc,912258.99,IRSwap
PQTUJ,0.47,2685,Kessler - Dicki,731054.85,IRSwap
2QZ0O,0.50,2686,Brown - Glover,647666.02,IRSwap
ARZJL,0.92,2687,"Braun, West and Dicki",462773.67,IRSwap
JK4M7,0.15,2688,"Hermiston, Bahringer and Parker",45075.38,IRSwap
JULVF,0.29,2689,"Simonis, Kerluke and Deckow",331063.51,IRSwap
Z9FZT,0.31,2690,Kautzer and Sons,492816.22,IRSwap
Y07FV,0.04,2691,"Macejkovic, Mitchell and Romaguera",248832.30,IRSwap
RAY75,0.94,2692,Lehner and Sons,115868.11,IRSwap
BJJBO,0.64,2693,"Kulas, Ledner and Heathcote",595023.39,IRSwap
TF2KT,0.40,2694,Spencer - Rogahn,271083.46,IRSwap
WXD8Z,0.49,2695,Lindgren - Fritsch,719403.55,IRSwap
2ENNG,0.67,2696,"Ortiz, Hirthe and Effertz",67671.41,IRSwap
OOUXU,0.87,2697,Donnelly and Sons,899386.50,IRSwap
Y9MPD,0.18,2698,Halvorson - Lind,270410.51,IRSwap
QGJ7Q,0.02,2699,Hammes Inc,879394.66,IRSwap
CCUT7,0.27,2700,Waelchi - Hessel,725800.50,IRSwap
4CUX4,0.81,2701,Haley - Connelly,618371.69,IRSwap
SZI68,0.14,2702,"Wilkinson, Glover and Greenholt",375093.04,IRSwap
QYTXL,0.42,2703,Dare - Sipes,438968.14,IRSwap
6KRDM,0.59,2704,"Kunde, Braun and Nolan",982723.00,IRSwap
N2CKC,0.33,2705,Weissnat Inc,474096.26,IRSwap
4B6DE,0.02,2706,Wunsch - Collins,890890.87,IRSwap
G5NEL,0.41,2707,Lang and Sons,984851.86,IRSwap
8LY2V,0.46,2708,"Schmitt, Metz and Little",554728.95,IRSwap
IYRUV,0.40,2709,Gleason - Botsford,157750.04,IRSwap
KK80H,0.42,2710,Wolf - Mills,573471.97,IRSwap
DLCWP,0.21,2711,"Wilderman, Waters and Mayer",843792.65,IRSwap
8ATY7,0.90,2712,Langosh LLC,654835.61,IRSwap
TZYZO,0.36,2713,Reynolds - Altenwerth,367699.77,IRSwap
CIB4D,0.42,2714,"Metz, Koss and Labadie",412484.37,IRSwap
1XC9F,0.06,2715,"Dach, Dickens and Bogan",465323.80,IRSwap
X70EM,0.36,2716,Ledner and Sons,218894.04,IRSwap
128WR,0.51,2717,Hegmann and Sons,703315.24,IRSwap
TADY1,0.64,2718,"Schuppe, Kshlerin and Miller",563821.32,IRSwap
Y36EB,0.30,2719,Weissnat - Towne,309648.87,IRSwap
XDFZO,0.43,2720,"Roob, Bednar and Reichert",823014.44,IRSwap
1TN3X,0.66,2721,Turner - Fisher,467378.24,IRSwap
EDE3Y,0.05,2722,Marks - Reichert,816383.47,IRSwap
2FVQW,0.90,2723,Koch - Emmerich,85698.93,IRSwap
1NUW9,0.54,2724,"Wolf, Hirthe and Effertz",908750.33,IRSwap
6CWFJ,0.99,2725,Howe LLC,302340.18,IRSwap
1O5EM,0.94,2726,Anderson LLC,932212.26,IRSwap
6IWDQ,0.55,2727,"DuBuque, Balistreri and Raynor",459427.04,IRSwap
2KSV3,0.97,2728,Pollich LLC,181496.69,IRSwap
YQAVC,0.49,2729,Heaney Group,613058.38,IRSwap
3CXUZ,0.82,2730,Green - Heathcote,624351.75,IRSwap
B4RY4,0.37,2731,"Beatty, Shields and Kertzmann",131698.79,IRSwap
V43HG,0.23,2732,Ledner - Windler,591545.96,IRSwap
WCV2P,0.65,2733,Auer Inc,113271.12,IRSwap
IHHNM,0.53,2734,"Thompson, Gleichner and Wolf",272412.84,IRSwap
D188T,0.35,2735,"Ferry, Cartwright and Vandervort",763681.79,IRSwap
LB8Y8,0.68,2736,Medhurst - Williamson,32685.26,IRSwap
9ZBCN,0.62,2737,Koepp and Sons,647586.77,IRSwap
375YU,0.83,2738,"Schulist, Prohaska and Conn",780790.99,IRSwap
O08X5,0.26,2739,Simonis - Medhurst,330822.26,IRSwap
O9IEP,0.90,2740,"Jacobs, Stark and O'Connell",774408.67,IRSwap
WT9H4,0.08,2741,Donnelly - Kuphal,736430.89,IRSwap
MUBKY,0.08,2742,Hodkiewicz Group,781447.41,IRSwap
EUH0F,0.94,2743,Kunze - Hilll,176836.82,IRSwap
VM3LS,0.20,2744,Mayer - Conn,931171.08,IRSwap
0ZV5U,0.95,2745,"Kertzmann, Balistreri and Daniel",671160.10,IRSwap
TBB1B,0.25,2746,"Jones, Nader and Konopelski",102460.34,IRSwap
8XW0Q,0.72,2747,Davis and Sons,426303.41,IRSwap
6IEUM,0.87,2748,"Ryan, Bosco and Zemlak",468277.45,IRSwap
IGRSR,0.27,2749,Ziemann - Quitzon,155219.69,IRSwap
Q8S2Y,0.14,2750,"Stroman, Roberts and Hintz",847404.89,IRSwap
JHMNT,0.93,2751,Fadel Inc,646485.18,IRSwap
6Q9QG,0.14,2752,Prosacco and Sons,493548.42,IRSwap
WCMMG,0.26,2753,Wisozk and Sons,58189.26,IRSwap
GRKIY,0.99,2754,Rutherford - Orn,727893.58,IRSwap
J5DVN,0.99,2755,Crona Group,342610.62,IRSwap
4R2Q6,0.85,2756,"Beahan, Muller and Senger",932623.09,IRSwap
F1N1E,0.16,2757,Daniel LLC,319056.30,IRSwap
03IQZ,0.74,2758,"Russel, Kohler and Zulauf",47262.55,IRSwap
USBZI,0.77,2759,"Kreiger, Grant and MacGyver",147187.50,IRSwap
044PU,0.25,2760,"Conn, Casper and Wyman",404562.38,IRSwap
V4NK0,0.21,2761,"Ebert, Gottlieb and Cronin",824676.49,IRSwap
R96UP,0.41,2762,Bednar LLC,267541.85,IRSwap
V2L3D,0.61,2763,Ziemann - Abernathy,325930.16,IRSwap
2AZ0W,0.20,2764,Trantow LLC,644367.20,IRSwap
02A49,0.86,2765,Wilderman - Runolfsson,561317.27,IRSwap
79UYT,0.52,2766,"Stehr, Conn and Smitham",192963.94,IRSwap
7C16H,0.28,2767,Dicki - Huel,931701.18,IRSwap
O8FAS,0.78,2768,West LLC,77760.21,IRSwap
FRVGU,0.01,2769,Schumm - Lakin,665808.75,IRSwap
RRDMT,0.72,2770,Bernhard Inc,674731.59,IRSwap
RWMRI,0.99,2771,West Group,580924.80,IRSwap
ROQIG,0.48,2772,"Lesch, Corkery and Bayer",52253.63,IRSwap
3UUBX,0.85,2773,Hartmann - Koepp,132124.63,IRSwap
0XWI4,0.11,2774,"Kunde, Boehm and Littel",523984.42,IRSwap
1MZ2N,0.12,2775,"Stroman, Dare and Morissette",923328.77,IRSwap
BGO1S,0.44,2776,Flatley - Nader,611851.63,IRSwap
2IJQR,0.83,2777,Conn - Bahringer,40386.86,IRSwap
AI6T7,0.33,2778,"Hayes, Hills and O'Keefe",465412.80,IRSwap
WWOH7,0.47,2779,"DuBuque, Pouros and Crist",841112.66,IRSwap
5KUJ3,0.25,2780,Osinski - Hills,730000.32,IRSwap
VZ51X,0.50,2781,Schulist Inc,999873.52,IRSwap
XBV7L,0.62,2782,Marvin Inc,725343.87,IRSwap
0PAQ4,0.94,2783,Graham LLC,527899.75,IRSwap
JEK5Y,0.93,2784,Goyette Inc,78483.45,IRSwap
RKNST,0.69,2785,"O'Connell, Littel and Reinger",236777.46,IRSwap
17LZ6,0.69,2786,Weimann - Kris,207506.27,IRSwap
YG06J,0.76,2787,Veum - Zieme,179232.18,IRSwap
QVA84,0.64,2788,"Funk, Osinski and Stark",397415.87,IRSwap
NVI6Y,0.16,2789,"Hackett, Franecki and Padberg",340341.54,IRSwap
JABJG,0.26,2790,"Feeney, Hermann and Rice",546387.23,IRSwap
MTABB,0.76,2791,Willms and Sons,269445.33,IRSwap
QILT5,0.68,2792,Becker and Sons,605794.58,IRSwap
FHN7C,0.00,2793,Schiller - Marvin,461065.40,IRSwap
AA202,0.22,2794,"Medhurst, Denesik and Parker",244497.77,IRSwap
V4S1O,0.50,2795,"O'Reilly, Jacobi and Rogahn",178750.37,IRSwap
DXT45,0.09,2796,Ryan - Upton,270646.54,IRSwap
SDG7J,0.80,2797,"Gutkowski, Sipes and Kling",868042.91,IRSwap
6P9MJ,0.40,2798,Konopelski and Sons,127332.73,IRSwap
ERZWD,0.24,2799,Harber and Sons,209150.83,IRSwap
KAB3R,0.33,2800,"Veum, Cartwright and Turcotte",363907.42,IRSwap
F577K,0.52,2801,"Collins, Purdy and Green",308598.56,IRSwap
E8G0D,0.56,2802,Predovic - Parisian,972197.47,IRSwap
KRLFY,0.52,2803,"Gusikowski, Veum and Deckow",343340.97,IRSwap
X3CTO,0.15,2804,"Bergnaum, Kohler and Dicki",721990.23,IRSwap
E51U2,0.38,2805,"Hickle, Gulgowski and Kautzer",222020.36,IRSwap
YVDLS,0.62,2806,"Wuckert, Smitham and Schimmel",104926.10,IRSwap
OBCOK,0.88,2807,"Stehr, Murray and Emard",780498.33,IRSwap
CDGD3,0.45,2808,"Murray, Lockman and Torphy",917594.76,IRSwap
XT4HG,0.09,2809,Grimes - Kuhic,354387.22,IRSwap
S0MHQ,0.50,2810,Bayer - Hilpert,442838.86,IRSwap
7871I,0.01,2811,Senger - Tremblay,281738.62,IRSwap
GCQFR,0.51,2812,Keebler LLC,544294.13,IRSwap
CL6F4,0.34,2813,Douglas Inc,788389.80,IRSwap
KE75O,0.60,2814,"Wisoky, Nicolas and Medhurst",53840.13,IRSwap
XITYG,0.28,2815,Williamson and Sons,931585.10,IRSwap
6P3XM,0.07,2816,Reinger Inc,286025.45,IRSwap
SXHWX,0.53,2817,"Walker, Daniel and Friesen",188684.32,IRSwap
8NUE2,0.35,2818,Bernhard Group,125049.95,IRSwap
8EBUU,0.29,2819,Orn - Bergnaum,575603.23,IRSwap
5S7Q4,0.58,2820,Lehner LLC,824475.09,IRSwap
WNB5Y,0.05,2821,Beer - Larson,749470.19,IRSwap
A93OY,0.38,2822,Legros LLC,719308.86,IRSwap
9QG2Y,0.46,2823,Murray - Bins,646341.99,IRSwap
0E5BO,0.58,2824,Bruen - Gottlieb,488964.43,IRSwap
1QZWI,0.91,2825,Corkery Group,786623.35,IRSwap
PZVH5,0.20,2826,"Ledner, Schimmel and Roob",953631.13,IRSwap
482PV,0.11,2827,Douglas and Sons,584699.67,IRSwap
PALJR,0.56,2828,"Abernathy, Hilll and Green",481399.01,IRSwap
BIJBF,0.28,2829,Beahan - Schaefer,946336.96,IRSwap
F7WHX,0.19,2830,"Lang, Hoeger and Stiedemann",943886.16,IRSwap
FGHZP,0.27,2831,Schoen - Thiel,518897.77,IRSwap
PMTQI,0.40,2832,"Huel, Nitzsche and Padberg",154794.61,IRSwap
ZFJA3,0.70,2833,Shanahan - Wintheiser,495463.29,IRSwap
8WFW1,0.06,2834,Stamm and Sons,925662.21,IRSwap
4Q6SP,0.56,2835,Reinger Inc,872623.15,IRSwap
6ZW0F,0.04,2836,Rowe and Sons,791960.09,IRSwap
J9RWS,0.21,2837,"Pollich, Morissette and Marks",916462.81,IRSwap
T3D98,0.75,2838,"Osinski, Koepp and Blick",734957.88,IRSwap
GKR9Z,0.40,2839,Lebsack - Mohr,281233.04,IRSwap
3FYKG,0.43,2840,Auer - Champlin,631349.98,IRSwap
XPF6T,0.64,2841,"Ward, Herman and Cummings",88005.26,IRSwap
3YM3O,1.00,2842,Schamberger Inc,114901.45,IRSwap
NBGMD,0.14,2843,Schmeler - Schoen,468492.66,IRSwap
6F6IV,0.32,2844,"Schaden, Schultz and Swaniawski",646053.96,IRSwap
8XI0H,0.32,2845,Daniel Group,265693.91,IRSwap
4JPFL,0.27,2846,Rutherford - Kerluke,225714.77,IRSwap
ZBGXI,0.44,2847,"Schmeler, Pfannerstill and Skiles",403741.02,IRSwap
M17FE,0.93,2848,Simonis - Parker,557539.82,IRSwap
0DNIM,0.74,2849,Towne - Schultz,339010.54,IRSwap
HXV9M,0.05,2850,"Veum, Medhurst and Kuvalis",294419.54,IRSwap
XROIH,0.50,2851,Williamson Group,887637.85,IRSwap
WVHEL,0.67,2852,Ebert and Sons,202091.64,IRSwap
86944,0.34,2853,"Hackett, Sauer and Parker",671823.96,IRSwap
XXG2M,0.98,2854,Runolfsdottir Group,525376.82,IRSwap
P9ADM,0.43,2855,Cartwright Inc,751619.23,IRSwap
S677P,0.57,2856,Ondricka - Williamson,93229.60,IRSwap
UGGOZ,0.93,2857,Hilpert - Hoeger,155385.60,IRSwap
Y6JXY,0.99,2858,Hamill Group,690852.07,IRSwap
ITSQR,0.74,2859,"Thompson, Leannon and Pfeffer",869442.25,IRSwap
MQ3W9,0.79,2860,Hills Inc,572972.41,IRSwap
5P95L,0.64,2861,Jacobs - Paucek,388583.72,IRSwap
IUOAB,0.64,2862,Franecki LLC,695688.28,IRSwap
YW4BF,0.45,2863,"Ward, Fay and Dickinson",807866.27,IRSwap
HUAPT,0.54,2864,Ratke Inc,254569.50,IRSwap
ZNC1S,0.05,2865,Cremin - Brown,475021.33,IRSwap
6HK7S,0.15,2866,"McKenzie, Morissette and Buckridge",694041.30,IRSwap
IF10E,0.57,2867,"Cremin, Dickinson and Fritsch",531846.48,IRSwap
4PTAJ,0.07,2868,Bradtke - Bartell,777161.65,IRSwap
32KBC,0.72,2869,Howell - Nolan,426784.25,IRSwap
0X8G4,0.92,2870,Balistreri - Hudson,811665.07,IRSwap
2I3X1,0.77,2871,Ruecker LLC,234256.68,IRSwap
RJTFF,0.88,2872,"Upton, Feest and Block",298415.32,IRSwap
P7R7H,0.36,2873,"Pacocha, Osinski and Bednar",487437.31,IRSwap
QECKZ,0.64,2874,Nicolas Inc,770595.45,IRSwap
SBI8D,0.40,2875,Marvin Group,606206.36,IRSwap
3Z6LT,0.87,2876,Prohaska Inc,262845.37,IRSwap
QL0I1,0.14,2877,Stark and Sons,402453.86,IRSwap
H3PGP,0.40,2878,Steuber - Kessler,237142.03,IRSwap
GLTOQ,0.23,2879,"Lindgren, Sipes and Borer",337369.99,IRSwap
AJU6A,0.99,2880,"Russel, Christiansen and Labadie",404134.99,IRSwap
9SSZ9,0.73,2881,Fay Group,166999.63,IRSwap
62AZ7,0.85,2882,"Jast, Crooks and Miller",18867.59,IRSwap
BQ2S5,0.59,2883,Upton LLC,84854.26,IRSwap
L566S,0.03,2884,Bradtke - Reichel,342036.79,IRSwap
YWD3H,0.57,2885,"Koepp, Labadie and Strosin",362482.29,IRSwap
B82Y2,0.70,2886,Botsford Inc,898940.47,IRSwap
